placename	COUNT(*)
WH10,in,Kitchen	9
WH10,in,lounge	11
WH10,in,North Nook	1
WH10,in,rm105	2
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,westwing	3
WH20,in,antelounge	27
WH20,in,lounge	37
WH20,in,Nook	35
WH20,in,north wing	17
WH20,in,North Wing Nook	12
WH20,in,rm14	3
WH20,in,rm201	10
WH20,in,rm202	6
WH20,in,rm204	4
WH20,in,rm206	3
WH20,in,rm207	46
WH20,in,rm209	13
WH20,in,rm212	12
WH20,in,rm213	9
WH20,in,rm214	4
WH20,in,rm215	24
WH20,in,rm218	21
WH20,in,rm225	36
WH20,in,rm226	1
WH20,in,rm229	11
WH20,in,rm230	3
WH20,in,rm231	13
WH20,in,rm31	1
WH20,out,North Wing Nook	3
WH20,out,westwing	1
WH30,in,antelounge	45
WH30,in,lounge	124
WH30,in,northwing nook	12
WH30,in,rm301	57
WH30,in,rm301 Bath	3
WH30,in,rm301Bathrm	1
WH30,in,rm302	10
WH30,in,rm303	22
WH30,in,rm306	28
WH30,in,rm307	12
WH30,in,rm309	103
WH30,in,rm312	49
WH30,in,rm313	10
WH30,in,rm314	2
WH30,in,rm315	18
WH30,in,rm318	4
WH30,in,rm323	4
WH30,in,rm324	22
WH30,in,rm325	9
WH30,in,rm329	43
WH30,in,rm330	20
WH30,out,northwing	9
WH30,out,rm309	7
WH30,out,westwing	4
WH40,in,antelounge	20
WH40,in,lounge	52
WH40,in,northwing stairwell	1
WH40,in,rm02	2
WH40,in,rm401	8
WH40,in,rm402	14
WH40,in,rm403	4
WH40,in,rm404	12
WH40,in,rm405	9
WH40,in,rm406	18
WH40,in,rm407	32
WH40,in,rm409	18
WH40,in,rm410	5
WH40,in,rm410 (The Zebra Lounge)	19
WH40,in,rm411	35
WH40,in,rm412	8
WH40,in,rm413	8
WH40,in,rm414	119
WH40,in,rm415	46
WH40,in,rm418	69
WH40,in,rm420	2
WH40,in,rm423	71
WH40,in,rm425	29
WH40,in,rm427	6
WH40,in,rm429	24
WH40,in,rm431	6
WH40,out,Antelounge	1
WH40,out,eastwing	5
WH40,out,northwing	5
WH40,out,westwing	3
