placename	COUNT(*)
WH10,in,Kitchen	9
WH10,in,lounge	11
WH10,in,North Nook	3
WH10,in,rm105	5
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,rm124	1
WH10,out,westwing	3
WH20,in,antelounge	30
WH20,in,lounge	39
WH20,in,Nook	44
WH20,in,north wing	19
WH20,in,North Wing Nook	14
WH20,in,rm14	3
WH20,in,rm201	10
WH20,in,rm202	8
WH20,in,rm204	4
WH20,in,rm206	3
WH20,in,rm207	49
WH20,in,rm209	14
WH20,in,rm212	19
WH20,in,rm213	29
WH20,in,rm214	4
WH20,in,rm215	27
WH20,in,rm218	22
WH20,in,rm225	44
WH20,in,rm226	3
WH20,in,rm228	1
WH20,in,rm229	24
WH20,in,rm230	3
WH20,in,rm231	13
WH20,in,rm31	1
WH20,out,North Wing Nook	4
WH20,out,westwing	1
WH30,in,antelounge	52
WH30,in,lounge	162
WH30,in,North Wing	7
WH30,in,northwing nook	12
WH30,in,rm301	64
WH30,in,rm301 Bath	3
WH30,in,rm301Bathrm	1
WH30,in,rm302	23
WH30,in,rm303	22
WH30,in,rm306	31
WH30,in,rm307	15
WH30,in,rm309	115
WH30,in,rm312	56
WH30,in,rm313	13
WH30,in,rm314	3
WH30,in,rm315	40
WH30,in,rm318	4
WH30,in,rm323	4
WH30,in,rm324	22
WH30,in,rm325	9
WH30,in,rm326	4
WH30,in,rm329	58
WH30,in,rm330	27
WH30,out,northwing	10
WH30,out,rm309	7
WH30,out,westwing	4
WH40,in,antelounge	22
WH40,in,lounge	61
WH40,in,northwing stairwell	1
WH40,in,rm02	2
WH40,in,rm401	8
WH40,in,rm402	25
WH40,in,rm403	4
WH40,in,rm404	15
WH40,in,rm405	9
WH40,in,rm406	34
WH40,in,rm407	35
WH40,in,rm409	26
WH40,in,rm410	5
WH40,in,rm410 (The Zebra Lounge)	24
WH40,in,rm411	35
WH40,in,rm412	8
WH40,in,rm413	8
WH40,in,rm414	157
WH40,in,rm415	76
WH40,in,rm418	70
WH40,in,rm420	2
WH40,in,rm423	72
WH40,in,rm425	34
WH40,in,rm427	6
WH40,in,rm429	27
WH40,in,rm431	6
WH40,out,Antelounge	1
WH40,out,eastwing	5
WH40,out,northwing	5
WH40,out,westwing	3
