placename	COUNT(*)
WH10,in,Kitchen	9
WH10,in,lounge	11
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,westwing	1
WH20,in,antelounge	25
WH20,in,lounge	22
WH20,in,Nook	19
WH20,in,north wing	13
WH20,in,North Wing Nook	10
WH20,in,rm14	3
WH20,in,rm201	9
WH20,in,rm202	1
WH20,in,rm204	4
WH20,in,rm207	42
WH20,in,rm209	1
WH20,in,rm212	9
WH20,in,rm213	8
WH20,in,rm214	4
WH20,in,rm215	24
WH20,in,rm218	20
WH20,in,rm225	1
WH20,in,rm226	1
WH20,in,rm230	1
WH20,in,rm231	9
WH20,in,rm31	1
WH20,out,North Wing Nook	3
WH20,out,westwing	1
WH30,in,antelounge	23
WH30,in,lounge	70
WH30,in,northwing nook	12
WH30,in,rm301	23
WH30,in,rm301Bathrm	1
WH30,in,rm302	5
WH30,in,rm303	17
WH30,in,rm306	28
WH30,in,rm307	5
WH30,in,rm309	80
WH30,in,rm312	45
WH30,in,rm318	4
WH30,in,rm324	14
WH30,in,rm325	7
WH30,in,rm329	14
WH30,in,rm330	13
WH30,out,northwing	9
WH30,out,rm309	7
WH30,out,westwing	4
WH40,in,antelounge	10
WH40,in,lounge	43
WH40,in,northwing stairwell	1
WH40,in,rm02	2
WH40,in,rm401	7
WH40,in,rm402	5
WH40,in,rm405	9
WH40,in,rm407	31
WH40,in,rm409	18
WH40,in,rm410	2
WH40,in,rm411	25
WH40,in,rm412	8
WH40,in,rm413	8
WH40,in,rm414	83
WH40,in,rm415	31
WH40,in,rm418	64
WH40,in,rm423	64
WH40,in,rm425	18
WH40,in,rm427	2
WH40,in,rm429	24
WH40,in,rm431	1
WH40,out,eastwing	5
WH40,out,northwing	4
WH40,out,westwing	3
