placename	COUNT(*)
WH10,in,lounge	1
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,westwing	1
WH20,in,antelounge	21
WH20,in,lounge	17
WH20,in,north wing	2
WH20,out,westwing	1
WH30,in,antelounge	7
WH30,in,lounge	12
WH30,in,northwing nook	6
WH30,in,rm307	2
WH30,in,rm309	20
WH30,in,rm312	11
WH30,in,rm318	4
WH30,out,northwing	6
WH30,out,rm309	2
WH30,out,westwing	4
WH40,in,antelounge	9
WH40,in,lounge	6
WH40,in,northwing stairwell	1
WH40,in,rm407	4
WH40,in,rm409	5
WH40,in,rm410	2
WH40,in,rm413	2
WH40,in,rm415	8
WH40,in,rm423	13
WH40,out,eastwing	3
WH40,out,northwing	4
WH40,out,westwing	2
