placename	COUNT(*)
WH10,in,Antelounge	1
WH10,in,Kitchen	9
WH10,in,Lawn	2
WH10,in,lounge	39
WH10,in,North Nook	11
WH10,in,outside	1
WH10,in,rm105	11
WH10,in,rm107	13
WH10,in,rm118	2
WH10,out,eastwing	1
WH10,out,northwing	2
WH10,out,outside	2
WH10,out,rm124	1
WH10,out,Sukkah	3
WH10,out,westwing	3
WH20,in,antelounge	89
WH20,in,lounge	254
WH20,in,Nook	81
WH20,in,north wing	22
WH20,in,North Wing Nook	26
WH20,in,rm14	3
WH20,in,rm201	12
WH20,in,rm202	24
WH20,in,rm203	10
WH20,in,rm204	40
WH20,in,rm205	76
WH20,in,rm206	9
WH20,in,rm207	94
WH20,in,rm209	42
WH20,in,rm210	46
WH20,in,rm211	2
WH20,in,rm212	59
WH20,in,rm213	108
WH20,in,rm214	18
WH20,in,rm215	44
WH20,in,rm218	30
WH20,in,rm223	33
WH20,in,rm224	10
WH20,in,rm225	60
WH20,in,rm226	17
WH20,in,rm227	151
WH20,in,rm228	17
WH20,in,rm229	40
WH20,in,rm230	7
WH20,in,rm231	18
WH20,in,rm28	3
WH20,in,rm31	1
WH20,out,North Wing Nook	4
WH20,out,rm215	11
WH20,out,westwing	1
WH30,in,antelounge	119
WH30,in,lounge	305
WH30,in,North Wing	7
WH30,in,northwing nook	35
WH30,in,rm301	65
WH30,in,rm301 Bath	3
WH30,in,rm301Bathrm	1
WH30,in,rm302	43
WH30,in,rm303	220
WH30,in,rm304	71
WH30,in,rm305	4
WH30,in,rm306	59
WH30,in,rm307	17
WH30,in,rm309	144
WH30,in,rm310	1
WH30,in,rm311	10
WH30,in,rm312	64
WH30,in,rm313	138
WH30,in,rm314	15
WH30,in,rm315	68
WH30,in,rm318	19
WH30,in,rm320	1
WH30,in,rm323	29
WH30,in,rm324	31
WH30,in,rm325	44
WH30,in,rm326	4
WH30,in,rm327	23
WH30,in,rm328	3
WH30,in,rm329	69
WH30,in,rm330	82
WH30,in,rm331	29
WH30,in,TEAM ROOM	6
WH30,in,West Wing Windowseat	4
WH30,out,northwing	16
WH30,out,rm309	7
WH30,out,westwing	6
WH40,in,antelounge	47
WH40,in,lounge	87
WH40,in,northwing stairwell	1
WH40,in,rm02	3
WH40,in,rm401	9
WH40,in,rm402	43
WH40,in,rm403	24
WH40,in,rm404	56
WH40,in,rm405	13
WH40,in,rm406	74
WH40,in,rm407	39
WH40,in,rm409	28
WH40,in,rm410	5
WH40,in,rm410 (The Zebra Lounge)	24
WH40,in,rm411	44
WH40,in,rm412	20
WH40,in,rm413	12
WH40,in,rm414	172
WH40,in,rm415	107
WH40,in,rm418	79
WH40,in,rm420	2
WH40,in,rm423	80
WH40,in,rm424	3
WH40,in,rm425	43
WH40,in,rm427	13
WH40,in,rm429	29
WH40,in,rm431	46
WH40,out,Antelounge	1
WH40,out,eastwing	6
WH40,out,northwing	5
WH40,out,westwing	3
WH50,in,rm318	1
WH50,in,rm510	5
WH50,in,rm512	3
